Term,File,Tab
que,10,2
de,8,1
no,9,3
a,7,1
la,9,2
el,8,2
es,8,2
y,11,1
en,8,2
lo,9,2
un,11,1
por,10,1
qué,10,2
me,9,2
una,11,1
te,10,3
los,9,2
se,10,3
con,8,1
para,10,1
mi,9,3
está,8,3
si,10,3
bien,7,3
pero,10,1
yo,11,1
eso,8,2
las,9,2
sí,10,3
su,10,3
tu,11,1
aquí,7,2
del,8,1
al,7,2
como,8,1
le,9,2
más,9,3
esto,8,3
ya,11,1
todo,11,1
esta,8,3
vamos,11,1
muy,9,3
hay,9,1
ahora,7,1
algo,7,2
estoy,8,3
tengo,10,3
nos,9,3
tú,11,1
nada,9,3
cuando,8,1
ha,9,1
este,8,3
sé,10,3
estás,8,3
así,7,2
puedo,10,2
cómo,8,1
quiero,10,2
sólo,10,3
soy,10,3
tiene,11,1
gracias,8,3
o,9,3
él,11,2
bueno,7,3
fue,8,3
ser,10,3
hacer,9,1
son,10,3
todos,11,1
era,8,2
eres,8,2
vez,11,1
tienes,11,1
creo,8,1
ella,8,2
he,9,1
ese,8,2
voy,11,1
puede,10,2
sabes,10,2
hola,9,1
sus,10,3
porque,10,1
Dios,2,2
quién,10,2
nunca,9,3
dónde,8,2
quieres,10,2
casa,7,3
favor,8,3
esa,8,2
dos,8,2
tan,10,3
señor,10,3
tiempo,11,1
verdad,11,1
estaba,8,3
